Datum/Zeit;Strom in KW;Gasbezug in KW;Wärmeleistung in KW
16:11:00;159.010356731876;0;0
16:11:05;235.696202531646;69.374731882242;0
16:11:10;-41.7261219792865;4266.54601075788;-177.190721649485
16:11:15;-502.968929804373;4231.85864481676;-547.680412371134
16:11:20;-669.873417721519;4162.20093364135;-711.984536082474
16:11:24;-712.727272727273;4092.970044837;-1427.19072164948
16:11:29;-807.456846950518;4092.970044837;-1800.90206185567
16:11:34;-832.266973532796;4023.46090251997;-1997.42268041237
16:11:39;-880.759493670886;4058.14591030031;-2126.28865979381
16:11:44;-908.952819332566;3988.91148437504;-2023.19587628866
16:11:49;-928.124280782509;3988.77589473962;-2077.96391752577
16:11:54;-932.635212888377;3988.77589473962;-2164.94845360825
16:11:59;-949.551208285386;3953.82209318021;-2271.26288659794
16:12:04;-957.445339470656;3884.32476771379;-2303.4793814433
16:12:09;-963.084004602992;3918.7398572446;-2271.26288659794
16:12:13;-966.467203682393;3814.44324161949;-2274.48453608247
16:12:18;-970.978135788262;3883.5328026259;-2335.69587628866
16:12:23;-976.616800920598;3883.5328026259;-2377.57731958763
16:12:28;-980;3848.46607562724;-2380.79896907216
16:12:33;-980;3813.53605911376;-2367.91237113402
16:12:38;-980;3882.4773513954;-2377.57731958763
16:12:43;-977.744533947066;3847.42026127875;-2390.46391752577
16:12:48;-970.978135788262;3846.8975672243;-2422.68041237113
16:12:53;-980;3811.98189260979;-2422.68041237113
16:12:58;-980;3811.46411857432;-2429.12371134021
16:13:02;-977.744533947066;3776.42973597736;-2438.78865979381
16:13:07;-980;3810.81709879457;-2442.01030927835
16:13:12;-976.616800920598;3810.29964111261;-2464.5618556701
16:13:17;-980;3775.27607969876;-2471.00515463918
16:13:22;-980;3774.89168422499;-2471.00515463918
16:13:27;-980;3670.62184315795;-2464.5618556701
16:13:32;-980;3774.25119902288;-2458.11855670103
16:13:37;-977.744533947066;3773.86701221516;-2483.89175257732
16:13:42;-980;3773.73896732621;-2487.11340206186
16:13:47;-980;3738.86379440595;-2496.77835051546
16:13:51;-977.744533947066;3738.61011433034;-2487.11340206186
16:13:56;-980;3738.22965875561;-2487.11340206186
16:14:01;-976.616800920598;3737.97606472136;-2500
16:14:06;-980;3737.59573817586;-2490.33505154639
16:14:11;-977.744533947066;3737.21548901639;-2483.89175257732
16:14:16;-980;3736.96203255732;-2487.11340206186
16:14:21;-976.616800920598;3701.98393165244;-2493.55670103093
16:14:26;-970.978135788262;3701.48191667713;-2503.22164948454
16:14:31;-977.744533947066;3700.98003783686;-2496.77835051546
16:14:36;-980;3666.14289571689;-2493.55670103093
16:14:40;-977.744533947066;3665.77014343982;-2496.77835051546
16:14:45;-980;3630.9412907837;-2467.78350515464
16:14:50;-980;3699.85130790326;-2474.22680412371
16:14:55;-977.744533947066;3699.60057252051;-2490.33505154639
